Distance_(pixels),Gray_Value
0,7.207
1,6.914
2,6.658
3,6.546
4,6.605
5,6.878
6,7.219
7,7.499
8,7.608
9,7.532
10,7.263
11,6.938
12,6.787
13,7.013
14,7.600
15,8.223
16,8.812
17,9.172
18,9.346
19,9.582
20,10.077
21,10.612
22,10.852
23,10.856
24,10.707
25,10.534
26,10.313
27,10.408
28,10.879
29,11.300
30,11.211
31,10.571
32,9.839
33,9.363
34,9.207
35,9.274
36,9.209
37,8.931
38,8.730
39,8.984
40,9.773
41,10.805
42,11.376
43,11.087
44,10.278
45,9.679
46,9.662
47,10.011
48,10.822
49,11.836
50,12.607
51,13.031
52,13.645
53,15.414
54,19.347
55,26.975
56,40.053
57,60.593
58,87.569
59,109.336
60,111.500
61,91.456
62,66.586
63,49.620
64,43.481
65,47.502
66,60.635
67,80.566
68,104.175
69,129.101
70,152.594
71,177.324
72,201.989
73,209.589
74,191.704
75,159.666
76,127.393
77,101.235
78,85.180
79,79.442
80,80.806
81,83.435
82,80.993
83,73.779
84,65.939
85,59.988
86,54.938
87,49.863
88,44.379
89,39.701
90,36.645
91,36.139
92,37.903
93,42.349
94,47.940
95,52.507
96,54.705
97,56.192
98,59.501
99,63.696
100,67.428
101,68.127
102,65.683
103,63.583
104,63.476
105,63.293
106,61.674
107,59.744
108,59.745
109,62.067
110,64.583
111,67.045
112,69.087
113,67.868
114,63.213
115,57.714
116,54.982
117,56.530
118,61.930
119,69.269
120,76.550
121,83.125
122,88.749
123,95.331
124,102.964
125,109.643
126,113.937
127,112.793
128,105.524
129,98.441
130,95.071
131,92.781
132,89.317
133,86.847
134,86.080
135,86.294
136,86.782
137,87.696
138,87.734
139,85.214
140,80.384
141,75.189
142,71.679
143,70.017
144,69.232
